DATE,EffectiveFFR
2001-07-31,3.82
2001-08-01,3.79
2001-08-02,3.68
2001-08-03,3.69
2001-08-06,3.73
2001-08-07,3.69
2001-08-08,3.75
2001-08-09,3.77
2001-08-10,3.7
2001-08-13,3.79
2001-08-14,3.76
2001-08-15,3.83
2001-08-16,3.75
2001-08-17,3.66
2001-08-20,3.64
2001-08-21,3.53
2001-08-22,3.51
2001-08-23,3.55
2001-08-24,3.51
2001-08-27,3.54
2001-08-28,3.5
2001-08-29,3.5
2001-08-30,3.58
2001-08-31,3.66
2001-09-03,3.66
2001-09-04,3.67
2001-09-05,3.49
2001-09-06,3.52
2001-09-07,3.44
2001-09-10,3.5
2001-09-11,3.5
2001-09-12,3.56
2001-09-13,3.31
2001-09-14,3.13
2001-09-17,2.13
2001-09-18,1.25
2001-09-19,1.19
2001-09-20,2.22
2001-09-21,3.11
2001-09-24,3.31
2001-09-25,3.11
2001-09-26,2.96
2001-09-27,3.08
2001-09-28,2.75
2001-10-01,3.02
2001-10-02,2.35
2001-10-03,2.27
2001-10-04,2.45
2001-10-05,2.42
2001-10-08,2.42
2001-10-09,2.5
2001-10-10,2.42
2001-10-11,2.42
2001-10-12,2.39
2001-10-15,2.51
2001-10-16,2.47
2001-10-17,2.51
2001-10-18,2.5
2001-10-19,2.47
2001-10-22,2.52
2001-10-23,2.48
2001-10-24,2.53
2001-10-25,2.54
2001-10-26,2.51
2001-10-29,2.55
2001-10-30,2.55
2001-10-31,2.66
2001-11-01,2.61
2001-11-02,2.43
2001-11-05,2.45
2001-11-06,2.13
2001-11-07,2.04
2001-11-08,2.03
2001-11-09,1.98
2001-11-12,1.98
2001-11-13,2.1
2001-11-14,2.16
2001-11-15,2.22
2001-11-16,1.98
2001-11-19,2.01
2001-11-20,1.97
2001-11-21,1.93
2001-11-22,1.93
2001-11-23,1.88
2001-11-26,2.04
2001-11-27,2.01
2001-11-28,2.04
2001-11-29,2.09
2001-11-30,2.06
2001-12-03,2.05
2001-12-04,1.93
2001-12-05,1.89
2001-12-06,1.87
2001-12-07,1.92
2001-12-10,1.9
2001-12-11,1.8
2001-12-12,1.81
2001-12-13,1.86
2001-12-14,1.88
2001-12-17,1.93
2001-12-18,1.71
2001-12-19,1.71
2001-12-20,1.79
2001-12-21,1.78
2001-12-24,1.68
2001-12-25,1.68
2001-12-26,1.89
2001-12-27,1.85
2001-12-28,1.54
2001-12-31,1.52
2002-01-01,1.52
2002-01-02,1.92
2002-01-03,1.72
2002-01-04,1.61
2002-01-07,1.61
2002-01-08,1.61
2002-01-09,1.74
2002-01-10,1.81
2002-01-11,1.71
2002-01-14,1.78
2002-01-15,1.75
2002-01-16,1.69
2002-01-17,1.68
2002-01-18,1.71
2002-01-21,1.71
2002-01-22,1.84
2002-01-23,1.81
2002-01-24,1.8
2002-01-25,1.78
2002-01-28,1.79
2002-01-29,1.78
2002-01-30,1.78
2002-01-31,1.85
